Record_ID,Date,Month,Quarter,Year,Region,Trust,Hospital,AE_Type,Attendances,Emergency_Admissions,Seen_Within_4Hours,Over_4Hours,Average_Waiting_Time,Longest_Wait_Hours,Left_Before_Treatment,Ambulance_Arrivals,Self_Referrals,GP_Referrals,Other_Referrals
509,12/04/2023,April,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,534,62,389,145,267,12.3,25,159,190,17,327
510,12/04/2023,April,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,360,110,341,19,153,14.5,25,172,295,69,4
511,13/04/2023,April,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,326,50,199,127,222,4.8,6,47,97,65,164
512,13/04/2023,April,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,362,157,270,92,136,7.6,21,185,287,62,13
513,13/04/2023,April,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,457,76,308,149,231,6.1,19,191,175,18,264
514,13/04/2023,April,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,516,85,429,87,240,14.4,18,193,96,47,373
515,13/04/2023,April,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,670,58,557,113,107,7.7,24,94,233,76,361
516,14/04/2023,April,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,634,99,418,216,317,9.7,12,138,109,68,457
517,14/04/2023,April,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,449,81,395,54,125,11.3,3,175,233,64,152
518,14/04/2023,April,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,325,69,205,120,134,10.3,21,113,176,68,81
519,14/04/2023,April,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,608,196,368,240,205,13.5,0,63,144,16,448
520,14/04/2023,April,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,449,193,275,174,216,5.1,21,91,102,60,287
521,15/04/2023,April,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,298,157,246,52,178,7.4,7,47,246,67,15
522,15/04/2023,April,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,483,158,400,83,146,9.4,15,74,71,55,357
523,15/04/2023,April,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,263,90,250,13,208,10.9,21,186,212,39,12
524,15/04/2023,April,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,496,124,335,161,199,11.9,21,40,195,20,281
525,15/04/2023,April,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,573,67,468,105,255,4.5,17,56,125,66,382
526,16/04/2023,April,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,267,131,192,75,268,6.9,17,97,263,65,61
527,16/04/2023,April,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,251,94,237,14,297,7.4,7,215,77,30,144
528,16/04/2023,April,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,505,119,399,106,293,13.5,18,135,183,68,254
529,16/04/2023,April,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,655,147,636,19,180,11.3,9,112,233,37,385
530,16/04/2023,April,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,576,114,485,91,219,13.3,19,186,295,40,241
531,17/04/2023,April,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,465,142,426,39,126,11.5,11,90,226,35,204
532,17/04/2023,April,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,601,134,493,108,231,6.4,22,124,111,68,422
533,17/04/2023,April,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,499,54,426,73,143,5.3,15,203,296,56,147
534,17/04/2023,April,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,651,112,552,99,250,9.8,6,203,222,29,400
535,17/04/2023,April,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,598,183,486,112,190,4.1,20,110,126,32,440
536,18/04/2023,April,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,323,175,259,64,175,9.6,25,145,183,42,98
537,18/04/2023,April,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,429,188,417,12,193,6.7,16,129,74,15,340
538,18/04/2023,April,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,308,62,211,97,104,11.6,15,187,92,63,153
539,18/04/2023,April,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,366,86,258,108,153,9.6,6,67,139,40,187
540,18/04/2023,April,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,435,137,323,112,111,15.1,5,184,235,26,174
541,19/04/2023,April,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,327,111,205,122,136,13.3,10,63,242,63,22
542,19/04/2023,April,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,567,190,518,49,267,13.6,0,57,103,72,392
543,19/04/2023,April,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,457,104,393,64,137,10.1,8,149,227,35,195
544,19/04/2023,April,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,392,192,387,5,198,15.4,12,195,273,56,63
545,19/04/2023,April,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,382,194,315,67,298,11.8,25,173,96,18,268
546,20/04/2023,April,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,549,183,527,22,127,7.1,21,52,300,21,228
547,20/04/2023,April,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,543,90,512,31,161,13.6,5,173,292,70,181
548,20/04/2023,April,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,329,159,286,43,235,13.8,20,52,254,53,22
549,20/04/2023,April,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,629,167,513,116,263,8.8,13,57,250,66,313
550,20/04/2023,April,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,365,111,363,2,127,10.5,1,51,161,40,164
551,21/04/2023,April,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,274,170,267,7,202,13.2,18,203,149,49,76
552,21/04/2023,April,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,587,192,390,197,163,6.1,17,164,126,65,396
553,21/04/2023,April,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,361,153,298,63,192,7.2,19,78,66,36,259
554,21/04/2023,April,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,680,142,436,244,310,6.3,1,149,78,41,561
555,21/04/2023,April,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,253,151,173,80,187,6.8,15,189,218,68,33
556,22/04/2023,April,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,306,131,222,84,126,10.3,20,129,168,29,109
557,22/04/2023,April,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,401,169,311,90,100,14.6,15,217,217,80,104
558,22/04/2023,April,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,590,101,568,22,186,14.2,14,73,190,30,370
559,22/04/2023,April,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,621,113,412,209,167,6,10,122,159,44,418
560,22/04/2023,April,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,345,58,251,94,275,7.3,2,176,183,30,132
561,23/04/2023,April,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,459,147,456,3,209,8.7,21,72,182,65,212
562,23/04/2023,April,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,615,102,540,75,128,11,0,143,118,48,449
563,23/04/2023,April,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,403,200,372,31,244,8.6,17,163,58,67,278
564,23/04/2023,April,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,298,127,283,15,146,5.5,15,95,187,67,44
565,23/04/2023,April,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,385,138,270,115,201,13.5,21,45,136,22,227
566,24/04/2023,April,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,635,130,454,181,299,15,10,190,158,55,422
567,24/04/2023,April,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,450,165,368,82,167,6.1,24,149,50,56,344
568,24/04/2023,April,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,370,191,269,101,123,12.1,13,214,118,63,189
569,24/04/2023,April,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,325,126,280,45,249,10.3,24,215,195,72,58
570,24/04/2023,April,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,661,172,507,154,305,9.2,22,220,104,10,547
571,25/04/2023,April,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,335,199,226,109,308,15.1,23,156,291,18,26
572,25/04/2023,April,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,377,88,260,117,194,14.8,5,149,105,35,237
573,25/04/2023,April,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,295,184,270,25,105,14.1,11,115,138,12,145
574,25/04/2023,April,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,429,76,289,140,287,9.1,7,133,221,48,160
575,25/04/2023,April,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,668,176,460,208,162,4.8,15,137,144,16,508
576,26/04/2023,April,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,594,165,546,48,251,14.7,11,163,55,77,462
577,26/04/2023,April,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,428,118,344,84,193,6.6,8,71,75,74,279
578,26/04/2023,April,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,604,161,595,9,237,6.4,21,129,89,30,485
579,26/04/2023,April,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,320,102,294,26,214,6.8,16,214,91,31,198
580,26/04/2023,April,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,272,167,199,73,232,11.7,5,165,73,27,172
581,27/04/2023,April,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,385,186,242,143,209,14.8,16,163,60,64,261
582,27/04/2023,April,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,525,106,426,99,269,4.5,25,121,110,41,374
583,27/04/2023,April,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,382,192,294,88,279,12.2,25,180,261,64,57
584,27/04/2023,April,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,505,72,315,190,133,11.5,7,43,124,62,319
585,27/04/2023,April,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,578,69,385,193,159,5.6,19,66,131,45,402
586,28/04/2023,April,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,490,109,308,182,119,9.6,1,138,108,32,350
587,28/04/2023,April,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,536,145,532,4,144,14.4,3,74,241,57,238
588,28/04/2023,April,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,448,138,335,113,279,7.3,20,117,220,57,171
589,28/04/2023,April,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,572,94,444,128,291,12,7,123,210,34,328
590,28/04/2023,April,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,502,96,322,180,100,9.3,22,212,139,58,305
591,29/04/2023,April,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,635,105,562,73,286,14.1,14,141,217,65,353
592,29/04/2023,April,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,483,176,470,13,285,10.9,20,84,271,10,202
593,29/04/2023,April,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,657,195,645,12,212,15.1,18,79,147,64,446
594,29/04/2023,April,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,406,163,347,59,121,15.8,4,73,281,77,48
595,29/04/2023,April,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,670,112,570,100,311,15.7,15,197,255,33,382
596,30/04/2023,April,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,456,105,313,143,220,9.3,13,86,297,11,148
597,30/04/2023,April,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,542,77,343,199,317,14,12,126,240,46,256
598,30/04/2023,April,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,282,113,281,1,196,14.6,13,52,146,19,117
599,30/04/2023,April,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,671,164,408,263,195,5,4,178,294,17,360
600,30/04/2023,April,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,301,50,288,13,232,6.9,2,136,285,28,12
601,01/05/2023,May,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,388,171,341,47,128,10.3,3,206,257,54,77
602,01/05/2023,May,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,527,135,499,28,311,6.1,23,66,182,33,312
603,01/05/2023,May,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,291,134,251,40,206,11.3,16,93,262,52,23
604,01/05/2023,May,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,598,182,539,59,104,13,9,157,282,16,300
605,01/05/2023,May,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,284,182,183,101,257,5.9,13,117,104,63,117
606,02/05/2023,May,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,536,127,446,90,101,13.1,11,175,169,50,317
607,02/05/2023,May,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,289,153,198,91,272,15,22,112,278,45,34
608,02/05/2023,May,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,678,156,656,22,111,12.1,24,132,91,66,521
609,02/05/2023,May,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,558,154,491,67,198,6.8,20,151,83,28,447
610,02/05/2023,May,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,381,66,286,95,164,7.3,10,97,190,24,167
611,03/05/2023,May,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,424,81,321,103,142,7,18,219,210,67,147
612,03/05/2023,May,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,507,71,321,186,153,5.1,19,106,89,70,348
613,03/05/2023,May,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,452,149,282,170,238,10.7,2,110,164,19,269
614,03/05/2023,May,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,663,144,526,137,141,15.1,10,164,225,68,370
615,03/05/2023,May,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,522,103,368,154,126,16,21,160,195,39,288
616,04/05/2023,May,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,507,165,390,117,185,11.1,20,193,102,29,376
617,04/05/2023,May,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,398,122,243,155,92,13.7,11,53,205,55,138
618,04/05/2023,May,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,561,128,358,203,113,13.6,1,171,144,78,339
619,04/05/2023,May,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,646,140,441,205,105,13.8,4,99,241,26,379
620,04/05/2023,May,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,559,196,531,28,310,14.6,21,127,239,63,257
621,05/05/2023,May,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,684,117,628,56,128,12.2,6,43,134,44,506
622,05/05/2023,May,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,464,176,362,102,276,4.2,12,196,176,60,228
623,05/05/2023,May,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,387,168,309,78,195,8.7,21,194,291,40,56
624,05/05/2023,May,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,663,164,411,252,320,9.6,12,198,189,33,441
625,05/05/2023,May,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,372,120,283,89,146,13.4,14,213,68,43,261
626,06/05/2023,May,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,539,140,332,207,300,5.3,1,70,142,39,358
627,06/05/2023,May,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,453,180,366,87,252,8.2,24,69,116,62,275
628,06/05/2023,May,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,282,106,243,39,311,8.8,6,166,109,35,138
629,06/05/2023,May,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,329,69,294,35,254,11.2,17,83,288,26,15
630,06/05/2023,May,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,439,59,327,112,125,10.5,23,122,243,73,123
631,07/05/2023,May,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,371,148,359,12,121,6.2,20,154,282,34,55
632,07/05/2023,May,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,636,167,403,233,137,9.1,7,81,255,26,355
633,07/05/2023,May,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,266,83,197,69,225,15.6,17,135,133,58,75
634,07/05/2023,May,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,558,115,432,126,139,9.3,22,97,291,64,203
635,07/05/2023,May,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,360,185,350,10,248,8.5,10,56,138,62,160
636,08/05/2023,May,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,636,133,574,62,206,7.7,1,164,77,45,514
637,08/05/2023,May,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,646,108,564,82,319,6.2,8,133,170,42,434
638,08/05/2023,May,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,447,163,414,33,91,9.5,0,170,148,29,270
639,08/05/2023,May,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,539,129,451,88,236,11.9,9,172,238,41,260
640,08/05/2023,May,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,301,80,283,18,248,11.3,4,200,299,77,75
641,09/05/2023,May,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,381,118,304,77,199,9.7,15,123,176,47,158
642,09/05/2023,May,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,518,64,338,180,184,9.6,5,70,125,19,374
643,09/05/2023,May,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,447,68,432,15,282,11.6,15,70,111,77,259
644,09/05/2023,May,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,540,157,520,20,139,11.6,25,76,129,31,380
645,09/05/2023,May,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,279,64,271,8,293,9.1,19,74,178,15,86
646,10/05/2023,May,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,327,147,248,79,261,15.1,25,148,88,48,191
647,10/05/2023,May,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,415,178,273,142,139,5.9,7,149,162,72,181
648,10/05/2023,May,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,527,68,344,183,303,11.1,18,194,268,11,248
649,10/05/2023,May,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,454,104,357,97,93,9.3,10,143,182,14,258
650,10/05/2023,May,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,302,172,261,41,219,4.1,18,138,195,41,66
651,11/05/2023,May,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,277,71,265,12,101,9.3,10,205,223,80,26
652,11/05/2023,May,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,648,152,402,246,163,5,7,128,144,17,487
653,11/05/2023,May,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,649,180,415,234,240,15.1,0,191,66,20,563
654,11/05/2023,May,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,473,117,370,103,91,12.8,13,96,258,17,198
655,11/05/2023,May,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,604,199,566,38,121,10.2,11,178,127,48,429
656,12/05/2023,May,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,621,148,398,223,218,14,18,208,77,56,488
657,12/05/2023,May,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,605,183,529,76,115,10,8,127,182,66,357
658,12/05/2023,May,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,671,199,639,32,299,14.4,16,110,245,13,413
659,12/05/2023,May,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,417,73,273,144,247,10.9,17,110,259,57,101
660,12/05/2023,May,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,528,119,397,131,212,12.2,20,180,54,75,399
661,13/05/2023,May,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,290,177,227,63,172,12.8,12,114,228,48,14
662,13/05/2023,May,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,642,102,431,211,125,11.4,0,169,233,44,365
663,13/05/2023,May,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,348,86,322,26,213,4.1,12,133,135,56,157
664,13/05/2023,May,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,537,157,412,125,271,4.2,21,98,232,41,264
665,13/05/2023,May,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,372,172,360,12,177,12.5,8,131,111,15,246
666,14/05/2023,May,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,299,130,218,81,121,14.9,4,163,131,29,139
667,14/05/2023,May,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,648,101,493,155,299,8.9,12,129,195,69,384
668,14/05/2023,May,2,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,347,99,209,138,227,12.4,1,97,225,45,77
669,14/05/2023,May,2,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,474,178,367,107,231,11,23,65,92,75,307
670,14/05/2023,May,2,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,526,145,326,200,201,11.7,21,203,237,11,278
671,15/05/2023,May,2,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,323,119,253,70,254,14.4,22,127,252,10,61
672,15/05/2023,May,2,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,435,92,421,14,290,10.1,8,88,209,49,177
